Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		3,048 K	14,420 K	3208	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,716 K	7,444 K	1236	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe		4,708 K	14,652 K	1600		
  svchost.exe	0.01	4,116 K	15,624 K	2032	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,952 K	15,748 K	4268	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		4,108 K	14,964 K	5968	Windows Security Health Service	Microsoft Corporation
  svchost.exe	0.47	7,128 K	17,496 K	5340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,860 K	11,484 K	5440	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		3,128 K	6,036 K	6044	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe		4,604 K	15,924 K	4008	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,524 K	9,276 K	2432	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		33,828 K	40,468 K	828	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,352 K	25,572 K	4956	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,024 K	12,828 K	6516	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,896 K	16,504 K	7088	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,876 K	7,136 K	4288	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,972 K	9,276 K	3884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,352 K	11,236 K	4132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,296 K	5,968 K	4660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,368 K	5,672 K	7120	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		18,484 K	21,372 K	2168	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		2,804 K	9,896 K	3796		
   SearchFilterHost.exe		1,536 K	6,172 K	5908		
  armsvc.exe		1,448 K	7,080 K	5236	Adobe Acrobat Update Service	Adobe Systems
  svchost.exe		3,892 K	11,868 K	1292	Host Process for Windows Services	Microsoft Corporation
 lsass.exe		5,992 K	15,832 K	648	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,444 K	3,212 K	800		
csrss.exe	2.91	1,888 K	4,856 K	504		
winlogon.exe		2,744 K	10,980 K	592		
 fontdrvhost.exe		6,472 K	15,124 K	792		
 dwm.exe	5.70	40,304 K	87,920 K	1016		
explorer.exe	0.50	57,740 K	144,136 K	3992	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,700 K	8,188 K	5936	Windows Security notification icon	Microsoft Corporation
 OneDrive.exe		24,876 K	64,508 K	6052	Microsoft OneDrive	Microsoft Corporation
 chrome.exe	2.50	54,340 K	125,824 K	6328	Google Chrome	Google LLC
  chrome.exe		1,644 K	6,424 K	300	Google Chrome	Google LLC
  chrome.exe		1,948 K	8,612 K	672	Google Chrome	Google LLC
  chrome.exe		24,340 K	89,812 K	2324	Google Chrome	Google LLC
  chrome.exe		18,848 K	33,800 K	5444	Google Chrome	Google LLC
  chrome.exe		51,256 K	87,576 K	4576	Google Chrome	Google LLC
  chrome.exe		5,524 K	13,188 K	5260	Google Chrome	Google LLC
  chrome.exe		25,536 K	41,332 K	5668	Google Chrome	Google LLC
  chrome.exe		52,368 K	86,932 K	5796	Google Chrome	Google LLC
  chrome.exe		17,556 K	29,496 K	4000	Google Chrome	Google LLC
  chrome.exe		42,828 K	78,224 K	5512	Google Chrome	Google LLC
  chrome.exe	0.01	42,764 K	89,948 K	4384	Google Chrome	Google LLC
  chrome.exe		12,480 K	20,940 K	6260	Google Chrome	Google LLC
 procexp64.exe	8.83	25,048 K	67,140 K	4304	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,720 K	272 K	808		
GoogleCrashHandler64.exe		1,724 K	128 K	1856		

